Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-30 14:28:00-05:00,95.18000030517578,95.36000061035156,95.18000030517578,95.31500244140625,549706,0,0
2022-11-30 14:29:00-05:00,95.30999755859375,95.3499984741211,95.1500015258789,95.26799774169922,272226,0,0
2022-11-30 14:30:00-05:00,95.26000213623047,95.33000183105469,95.19999694824219,95.27999877929688,256485,0,0
2022-11-30 14:31:00-05:00,95.25499725341797,95.25499725341797,94.91999816894531,95.05480194091797,466341,0,0
2022-11-30 14:32:00-05:00,95.08000183105469,95.0999984741211,94.86000061035156,94.9000015258789,267791,0,0
2022-11-30 14:33:00-05:00,94.88999938964844,94.9397964477539,94.76000213623047,94.84010314941406,336825,0,0
2022-11-30 14:34:00-05:00,94.86000061035156,95.05000305175781,94.85690307617188,95.0155029296875,268164,0,0
2022-11-30 14:35:00-05:00,95.0280990600586,95.0999984741211,94.91000366210938,94.93000030517578,257085,0,0
2022-11-30 14:36:00-05:00,94.92749786376953,94.95999908447266,94.83000183105469,94.91000366210938,258988,0,0
2022-11-30 14:37:00-05:00,94.91999816894531,94.95999908447266,94.8550033569336,94.88999938964844,163106,0,0
2022-11-30 14:38:00-05:00,94.88999938964844,94.9000015258789,94.71499633789062,94.79499816894531,216580,0,0
2022-11-30 14:39:00-05:00,94.80000305175781,94.9000015258789,94.75,94.83999633789062,169127,0,0
2022-11-30 14:40:00-05:00,94.83999633789062,94.9000015258789,94.7699966430664,94.83000183105469,199090,0,0
2022-11-30 14:41:00-05:00,94.82499694824219,94.86720275878906,94.66999816894531,94.68009948730469,229891,0,0
2022-11-30 14:42:00-05:00,94.6812973022461,94.75,94.625,94.66400146484375,163506,0,0
2022-11-30 14:43:00-05:00,94.6698989868164,94.6698989868164,94.5250015258789,94.55000305175781,199929,0,0
2022-11-30 14:44:00-05:00,94.54499816894531,94.54499816894531,94.36000061035156,94.37000274658203,315265,0,0
2022-11-30 14:45:00-05:00,94.38999938964844,94.41999816894531,94.30999755859375,94.3550033569336,318453,0,0
2022-11-30 14:46:00-05:00,94.3550033569336,94.44999694824219,94.20999908447266,94.24500274658203,317041,0,0
2022-11-30 14:47:00-05:00,94.25,94.37000274658203,94.19000244140625,94.2300033569336,249039,0,0
2022-11-30 14:48:00-05:00,94.25,94.33000183105469,94.18000030517578,94.25990295410156,299069,0,0
2022-11-30 14:49:00-05:00,94.23999786376953,94.48899841308594,94.23999786376953,94.48899841308594,280294,0,0
2022-11-30 14:50:00-05:00,94.48999786376953,94.5,94.3499984741211,94.375,359341,0,0
2022-11-30 14:51:00-05:00,94.37000274658203,94.42649841308594,94.27999877929688,94.30000305175781,187784,0,0
