Datetime,AAPL_High,AMZN_High,GOOG_High,META_High,NFLX_High
2023-02-01 09:47:00-05:00,143.125,102.125,99.59239959716795,147.52999877929688,351.4049987792969
2023-02-01 09:48:00-05:00,143.0399932861328,102.06999969482422,99.52999877929688,147.47999572753906,351.4200134277344
2023-02-01 09:49:00-05:00,142.77000427246094,102.44000244140624,99.52999877929688,147.67999267578125,351.8450927734375
2023-02-01 09:50:00-05:00,142.8197021484375,102.41000366210938,99.54000091552734,147.73989868164062,351.69000244140625
2023-02-01 09:51:00-05:00,142.97000122070312,102.44000244140624,99.66999816894533,147.73699951171875,352.4100036621094
2023-02-01 09:52:00-05:00,143.08999633789062,102.41999816894533,99.6500015258789,147.72500610351562,352.4798889160156
2023-02-01 09:53:00-05:00,143.2100067138672,102.53009796142578,99.5999984741211,147.80819702148438,352.510009765625
2023-02-01 09:54:00-05:00,143.22999572753906,102.5500030517578,99.58000183105467,147.8699951171875,353.32000732421875
2023-02-01 09:55:00-05:00,143.2550048828125,102.5500030517578,99.58499908447266,147.94000244140625,353.2099914550781
2023-02-01 09:56:00-05:00,143.2097930908203,102.29000091552734,99.54000091552734,147.89999389648438,352.92999267578125
2023-02-01 09:57:00-05:00,143.13999938964844,102.22859954833984,99.3499984741211,147.72999572753906,352.70001220703125
2023-02-01 09:58:00-05:00,143.08999633789062,102.11000061035156,99.37999725341795,147.798095703125,352.6499938964844
2023-02-01 09:59:00-05:00,143.19000244140625,102.0999984741211,99.36000061035156,147.7100067138672,352.8099975585937
