,SPY_Close
2023-02-08 10:53:00-05:00,412.4500122070313
2023-02-08 10:54:00-05:00,412.4700012207031
2023-02-08 10:55:00-05:00,412.55810546875
2023-02-08 10:56:00-05:00,412.614990234375
2023-02-08 10:57:00-05:00,412.614990234375
2023-02-08 10:58:00-05:00,412.4700012207031
2023-02-08 10:59:00-05:00,412.4500122070313
2023-02-08 11:00:00-05:00,412.0799865722656
2023-02-08 11:01:00-05:00,412.0799865722656
2023-02-08 11:02:00-05:00,412.2000122070313
2023-02-08 11:03:00-05:00,412.239990234375
2023-02-08 11:04:00-05:00,412.239990234375
2023-02-08 11:05:00-05:00,412.239990234375
2023-02-08 11:06:00-05:00,412.05999755859375
2023-02-08 11:07:00-05:00,411.869384765625
2023-02-08 11:08:00-05:00,411.869384765625
2023-02-08 11:09:00-05:00,411.9200134277344
2023-02-08 11:10:00-05:00,411.9700012207031
2023-02-08 11:11:00-05:00,411.9200134277344
2023-02-08 11:12:00-05:00,411.848388671875
2023-02-08 11:13:00-05:00,411.7749938964844
2023-02-08 11:14:00-05:00,411.80999755859375
2023-02-08 11:15:00-05:00,411.80999755859375
2023-02-08 11:16:00-05:00,411.9700012207031
2023-02-08 11:17:00-05:00,412.0400085449219
2023-02-08 11:18:00-05:00,412.20989990234375
2023-02-08 11:19:00-05:00,412.20989990234375
2023-02-08 11:20:00-05:00,412.1199951171875
2023-02-08 11:21:00-05:00,412.0299987792969
2023-02-08 11:22:00-05:00,411.635009765625
2023-02-08 11:23:00-05:00,411.2999877929688
2023-02-08 11:24:00-05:00,411.2049865722656
2023-02-08 11:25:00-05:00,410.9500122070313
2023-02-08 11:26:00-05:00,410.6099853515625
2023-02-08 11:27:00-05:00,410.6099853515625
2023-02-08 11:28:00-05:00,410.75
2023-02-08 11:29:00-05:00,410.7999877929688
2023-02-08 11:30:00-05:00,410.7999877929688
2023-02-08 11:31:00-05:00,410.7799987792969
2023-02-08 11:32:00-05:00,410.55670166015625
2023-02-08 11:33:00-05:00,410.5199890136719
2023-02-08 11:34:00-05:00,410.5199890136719
2023-02-08 11:35:00-05:00,410.80999755859375
2023-02-08 11:36:00-05:00,410.8299865722656
2023-02-08 11:37:00-05:00,410.8699951171875
2023-02-08 11:38:00-05:00,410.8699951171875
2023-02-08 11:39:00-05:00,410.8642883300781
2023-02-08 11:40:00-05:00,410.2698974609375
2023-02-08 11:41:00-05:00,410.2698974609375
2023-02-08 11:42:00-05:00,410.3699951171875
2023-02-08 11:43:00-05:00,410.3699951171875
2023-02-08 11:44:00-05:00,410.3999938964844
2023-02-08 11:45:00-05:00,410.6099853515625
2023-02-08 11:46:00-05:00,410.6400146484375
2023-02-08 11:47:00-05:00,410.6099853515625
2023-02-08 11:48:00-05:00,410.5650024414063
2023-02-08 11:49:00-05:00,410.5650024414063
2023-02-08 11:50:00-05:00,410.7200012207031
2023-02-08 11:51:00-05:00,410.7200012207031
2023-02-08 11:52:00-05:00,410.55999755859375
