,SPY_Low
2023-01-03 12:26:00-05:00,378.7999877929688
2023-01-03 12:27:00-05:00,378.9400024414063
2023-01-03 12:28:00-05:00,378.8800048828125
2023-01-03 12:29:00-05:00,378.8699951171875
2023-01-03 12:30:00-05:00,378.8500061035156
2023-01-03 12:31:00-05:00,378.9200134277344
2023-01-03 12:32:00-05:00,379.2300109863281
2023-01-03 12:33:00-05:00,379.239990234375
2023-01-03 12:34:00-05:00,379.6400146484375
2023-01-03 12:35:00-05:00,379.760009765625
2023-01-03 12:36:00-05:00,379.6199951171875
2023-01-03 12:37:00-05:00,379.6099853515625
2023-01-03 12:38:00-05:00,379.5400085449219
2023-01-03 12:39:00-05:00,379.3699951171875
2023-01-03 12:40:00-05:00,379.2218017578125
2023-01-03 12:41:00-05:00,378.9800109863281
2023-01-03 12:42:00-05:00,378.9049987792969
2023-01-03 12:43:00-05:00,378.760009765625
2023-01-03 12:44:00-05:00,378.739990234375
2023-01-03 12:45:00-05:00,378.5
2023-01-03 12:46:00-05:00,378.010009765625
2023-01-03 12:47:00-05:00,377.83099365234375
2023-01-03 12:48:00-05:00,378.010009765625
2023-01-03 12:49:00-05:00,377.9800109863281
2023-01-03 12:50:00-05:00,378.1099853515625
2023-01-03 12:51:00-05:00,378.0600891113281
2023-01-03 12:52:00-05:00,378.1499938964844
2023-01-03 12:53:00-05:00,378.1300048828125
2023-01-03 12:54:00-05:00,378.1199951171875
2023-01-03 12:55:00-05:00,378.05999755859375
2023-01-03 12:56:00-05:00,377.9849853515625
2023-01-03 12:57:00-05:00,378.4700012207031
2023-01-03 12:58:00-05:00,378.5199890136719
2023-01-03 12:59:00-05:00,378.5400085449219
2023-01-03 13:00:00-05:00,378.4700012207031
2023-01-03 13:01:00-05:00,378.4800109863281
2023-01-03 13:02:00-05:00,378.3500061035156
2023-01-03 13:03:00-05:00,378.3500061035156
2023-01-03 13:04:00-05:00,378.5101013183594
2023-01-03 13:05:00-05:00,378.4400024414063
2023-01-03 13:06:00-05:00,378.4800109863281
2023-01-03 13:07:00-05:00,378.510009765625
2023-01-03 13:08:00-05:00,378.3999938964844
2023-01-03 13:09:00-05:00,378.4700012207031
2023-01-03 13:10:00-05:00,378.4700012207031
2023-01-03 13:11:00-05:00,378.7699890136719
2023-01-03 13:12:00-05:00,378.6300048828125
2023-01-03 13:13:00-05:00,378.4100036621094
2023-01-03 13:14:00-05:00,378.4299926757813
2023-01-03 13:15:00-05:00,378.3699951171875
2023-01-03 13:16:00-05:00,378.4100036621094
2023-01-03 13:17:00-05:00,378.3760070800781
2023-01-03 13:18:00-05:00,378.466796875
2023-01-03 13:19:00-05:00,378.4400024414063
2023-01-03 13:20:00-05:00,378.3599853515625
2023-01-03 13:21:00-05:00,378.3500061035156
2023-01-03 13:22:00-05:00,378.3399963378906
2023-01-03 13:23:00-05:00,378.3900146484375
2023-01-03 13:24:00-05:00,378.5549926757813
2023-01-03 13:25:00-05:00,378.6199951171875
2023-01-03 13:26:00-05:00,379.239990234375
2023-01-03 13:27:00-05:00,379.3599853515625
2023-01-03 13:28:00-05:00,379.2200012207031
2023-01-03 13:29:00-05:00,379.3049926757813
2023-01-03 13:30:00-05:00,379.3699951171875
2023-01-03 13:31:00-05:00,379.3699951171875
2023-01-03 13:32:00-05:00,379.30999755859375
2023-01-03 13:33:00-05:00,379.3200073242188
2023-01-03 13:34:00-05:00,379.1799926757813
2023-01-03 13:35:00-05:00,379.1799926757813
2023-01-03 13:36:00-05:00,379.3200073242188
2023-01-03 13:37:00-05:00,379.4500122070313
2023-01-03 13:38:00-05:00,379.3599853515625
2023-01-03 13:39:00-05:00,379.0799865722656
2023-01-03 13:40:00-05:00,379.1300048828125
2023-01-03 13:41:00-05:00,379.4800109863281
2023-01-03 13:42:00-05:00,379.3200073242188
2023-01-03 13:43:00-05:00,379.2900085449219
2023-01-03 13:44:00-05:00,379.2799987792969
2023-01-03 13:45:00-05:00,379.0400085449219
2023-01-03 13:46:00-05:00,379.0400085449219
2023-01-03 13:47:00-05:00,378.9599914550781
2023-01-03 13:48:00-05:00,379.0799865722656
2023-01-03 13:49:00-05:00,379.1799926757813
2023-01-03 13:50:00-05:00,379.24700927734375
2023-01-03 13:51:00-05:00,379.1300048828125
2023-01-03 13:52:00-05:00,379.2650146484375
2023-01-03 13:53:00-05:00,379.4599914550781
2023-01-03 13:54:00-05:00,379.62890625
2023-01-03 13:55:00-05:00,379.5799865722656
2023-01-03 13:56:00-05:00,379.7799987792969
2023-01-03 13:57:00-05:00,379.75
2023-01-03 13:58:00-05:00,379.7499084472656
2023-01-03 13:59:00-05:00,379.7900085449219
2023-01-03 14:00:00-05:00,379.6900024414063
2023-01-03 14:01:00-05:00,379.3599853515625
2023-01-03 14:02:00-05:00,379.489990234375
2023-01-03 14:03:00-05:00,379.3599853515625
2023-01-03 14:04:00-05:00,379.3999938964844
2023-01-03 14:05:00-05:00,379.4500122070313
2023-01-03 14:06:00-05:00,379.3699951171875
2023-01-03 14:07:00-05:00,379.4299011230469
2023-01-03 14:08:00-05:00,379.5700073242188
2023-01-03 14:09:00-05:00,379.4800109863281
2023-01-03 14:10:00-05:00,379.4549865722656
2023-01-03 14:11:00-05:00,379.2000122070313
2023-01-03 14:12:00-05:00,378.9299926757813
2023-01-03 14:13:00-05:00,379.0700073242188
2023-01-03 14:14:00-05:00,379.1799926757813
2023-01-03 14:15:00-05:00,379.2900085449219
2023-01-03 14:16:00-05:00,379.4700012207031
2023-01-03 14:17:00-05:00,379.489990234375
2023-01-03 14:18:00-05:00,379.3999938964844
2023-01-03 14:19:00-05:00,379.1600036621094
2023-01-03 14:20:00-05:00,379.2300109863281
2023-01-03 14:21:00-05:00,379.2049865722656
2023-01-03 14:22:00-05:00,379.2999877929688
2023-01-03 14:23:00-05:00,379.0499877929688
2023-01-03 14:24:00-05:00,378.8500061035156
2023-01-03 14:25:00-05:00,378.7999877929688
